District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),Estimated_Population,Source_Type,elevation_m
Vavuniya,2015,12,2015-03-14,2015-03-20,3,22.4,22.4,79.0,97.28571428571428,55.42857142857143,31.02857142857143,21.842857142857145,29.61428571428572,35.67142857142857,25.47142857142857,25.814285714285717,2.0,172164,interpolated,104.0
Vavuniya,2015,13,2015-03-21,2015-03-27,0,5.8,5.8,73.28571428571429,96.71428571428572,42.71428571428572,33.457142857142856,22.11428571428572,30.97142857142857,37.9,25.82857142857143,27.185714285714287,2.0,172164,interpolated,104.0
Vavuniya,2015,14,2015-03-28,2015-04-03,1,26.0,26.0,80.42857142857143,96.57142857142856,58.42857142857143,32.24285714285714,23.77142857142857,32.128571428571426,38.44285714285714,28.74285714285714,27.228571428571428,61.0,172164,interpolated,104.0
Vavuniya,2015,15,2015-04-04,2015-04-10,0,12.0,12.0,74.28571428571429,94.14285714285714,49.71428571428572,33.357142857142854,24.414285714285715,33.285714285714285,38.87142857142857,29.342857142857145,28.428571428571427,3.0,172164,interpolated,104.0
Vavuniya,2015,16,2015-04-11,2015-04-17,1,38.6,38.6,80.85714285714286,96.28571428571428,58.0,31.87142857142857,23.77142857142857,32.08571428571429,38.24285714285714,28.728571428571428,26.885714285714283,55.0,172164,interpolated,104.0
Vavuniya,2015,17,2015-04-18,2015-04-24,1,36.7,36.7,80.42857142857143,94.57142857142856,59.285714285714285,31.942857142857143,24.24285714285714,32.48571428571429,38.057142857142864,28.8,27.342857142857145,61.0,172164,interpolated,104.0
Vavuniya,2015,18,2015-04-25,2015-05-01,0,23.1,23.1,81.42857142857143,95.42857142857144,60.285714285714285,32.08571428571428,24.042857142857144,32.628571428571426,38.642857142857146,28.842857142857145,27.3,61.0,172164,interpolated,104.0
Vavuniya,2015,19,2015-05-02,2015-05-08,2,62.6,62.6,82.0,94.28571428571428,60.0,32.44285714285714,24.557142857142857,32.628571428571426,39.24285714285714,29.357142857142858,27.37142857142857,63.0,172164,interpolated,104.0
Vavuniya,2015,20,2015-05-09,2015-05-15,3,172.5,172.5,87.71428571428571,95.57142857142856,72.28571428571429,30.1,24.342857142857145,31.5,36.01428571428571,29.0,26.357142857142858,63.0,172164,interpolated,104.0
Vavuniya,2015,21,2015-05-16,2015-05-22,3,7.4,7.4,82.28571428571429,90.57142857142856,68.0,30.485714285714288,25.5,30.77142857142857,34.028571428571425,29.02857142857143,27.37142857142857,3.0,172164,interpolated,104.0
Vavuniya,2015,22,2015-05-23,2015-05-29,2,1.4,1.4,78.14285714285714,88.57142857142857,61.42857142857143,32.0,26.285714285714285,31.87142857142857,35.785714285714285,29.75714285714286,28.5,3.0,172164,interpolated,104.0
